filename,width,height,class,xmin,ymin,xmax,ymax
train/frame1756.jpg,1280,720,motorcycle,461,461,437,720
train/frame1756.jpg,1280,720,motorcycle,187,187,887,337
train/frame1756.jpg,1280,720,motorcycle,246,246,777,441
train/frame1756.jpg,1280,720,car,157,157,422,241
train/frame1756.jpg,1280,720,motorcycle,145,145,519,226
train/frame1756.jpg,1280,720,car,188,188,681,347
train/frame1756.jpg,1280,720,car,112,112,738,148
train/frame1756.jpg,1280,720,car,111,111,782,153
train/frame1756.jpg,1280,720,car,109,109,839,172
train/frame1756.jpg,1280,720,truck,263,263,123,442
train/frame1985.jpg,1280,720,car,164,164,416,238
train/frame1985.jpg,1280,720,car,245,245,302,434
train/frame1985.jpg,1280,720,motorcycle,179,179,772,286
train/frame1985.jpg,1280,720,car,129,129,676,185
train/frame1985.jpg,1280,720,motorcycle,168,168,509,255
train/frame1985.jpg,1280,720,car,134,134,582,215
train/frame1985.jpg,1280,720,car,126,126,809,194
train/frame1985.jpg,1280,720,car,111,111,744,165
train/frame1904.jpg,1280,720,car,157,157,421,237
train/frame1904.jpg,1280,720,car,148,148,616,256
train/frame1904.jpg,1280,720,car,239,239,407,383
train/frame1738.jpg,1280,720,motorcycle,158,158,905,268
train/frame1738.jpg,1280,720,motorcycle,182,182,845,326
train/frame1738.jpg,1280,720,motorcycle,262,262,681,480
train/frame1738.jpg,1280,720,car,146,146,773,255
train/frame1738.jpg,1280,720,car,138,138,614,214
train/frame1738.jpg,1280,720,truck,150,150,558,277
train/frame1738.jpg,1280,720,car,157,157,408,238
train/frame1738.jpg,1280,720,car,99,99,850,164
train/frame1738.jpg,1280,720,car,108,108,773,150
train/frame1862.jpg,1280,720,car,240,240,348,419
train/frame1862.jpg,1280,720,car,159,159,422,238
train/frame1862.jpg,1280,720,truck,207,207,664,387
train/frame1996.jpg,1280,720,motorcycle,202,202,722,346
train/frame1996.jpg,1280,720,car,211,211,405,374
train/frame1996.jpg,1280,720,car,155,155,419,232
train/frame1996.jpg,1280,720,motorcycle,157,157,562,237
train/frame1996.jpg,1280,720,car,131,131,603,210
train/frame1996.jpg,1280,720,car,124,124,690,181
train/frame1996.jpg,1280,720,car,133,133,795,219
train/frame1996.jpg,1280,720,car,119,119,878,166
train/frame1991.jpg,1280,720,car,226,226,363,393
train/frame1991.jpg,1280,720,car,160,160,421,239
train/frame1991.jpg,1280,720,motorcycle,161,161,539,246
train/frame1991.jpg,1280,720,motorcycle,183,183,751,316
train/frame1991.jpg,1280,720,car,128,128,683,184
train/frame1991.jpg,1280,720,car,133,133,589,210
train/frame1991.jpg,1280,720,car,129,129,806,214
train/frame1917.jpg,1280,720,car,136,136,650,224
train/frame1917.jpg,1280,720,car,158,158,422,203
train/frame1917.jpg,1280,720,car,202,202,327,345
train/frame1917.jpg,1280,720,car,201,201,500,316
train/frame1922.jpg,1280,720,car,138,138,666,221
train/frame1922.jpg,1280,720,car,189,189,529,295
train/frame1922.jpg,1280,720,car,189,189,357,331
train/frame1922.jpg,1280,720,car,159,159,383,233
train/frame1747.jpg,1280,720,motorcycle,168,168,892,296
train/frame1747.jpg,1280,720,motorcycle,211,211,814,377
train/frame1747.jpg,1280,720,motorcycle,334,334,600,605
train/frame1747.jpg,1280,720,car,157,157,424,243
train/frame1747.jpg,1280,720,truck,141,141,595,251
train/frame1747.jpg,1280,720,car,166,166,743,297
train/frame1747.jpg,1280,720,car,108,108,842,168
train/frame1747.jpg,1280,720,car,112,112,781,154
train/frame1747.jpg,1280,720,car,112,112,738,150
train/frame1747.jpg,1280,720,car,143,143,628,201
train/frame1747.jpg,1280,720,motorcycle,150,150,480,235
train/frame1052.jpg,1920,1080,motorcycle,389,389,1442,756
train/frame1052.jpg,1920,1080,motorcycle,176,176,295,323
train/frame1052.jpg,1920,1080,motorcycle,584,584,142,942
train/frame1052.jpg,1920,1080,bus,307,307,954,921
train/frame1746.jpg,1280,720,motorcycle,328,328,604,584
train/frame1746.jpg,1280,720,motorcycle,169,169,893,288
train/frame1746.jpg,1280,720,motorcycle,208,208,822,373
train/frame1746.jpg,1280,720,car,154,154,420,238
train/frame1746.jpg,1280,720,car,108,108,845,168
train/frame1746.jpg,1280,720,car,109,109,780,153
train/frame1746.jpg,1280,720,car,164,164,749,284
train/frame1746.jpg,1280,720,truck,132,132,591,253
train/frame1746.jpg,1280,720,motorcycle,158,158,472,239
train/frame1746.jpg,1280,720,car,115,115,731,149
train/frame1746.jpg,1280,720,car,137,137,626,205
train/frame1978.jpg,1280,720,motorcycle,158,158,793,256
train/frame1978.jpg,1280,720,car,159,159,417,238
train/frame1978.jpg,1280,720,car,138,138,567,223
train/frame1978.jpg,1280,720,car,269,269,223,483
train/frame1978.jpg,1280,720,motorcycle,180,180,476,274
train/frame1978.jpg,1280,720,car,134,134,664,196
train/frame1978.jpg,1280,720,car,111,111,744,168
train/frame1742.jpg,1280,720,motorcycle,299,299,649,526
train/frame1742.jpg,1280,720,motorcycle,161,161,895,278
train/frame1742.jpg,1280,720,motorcycle,197,197,830,345
train/frame1742.jpg,1280,720,car,157,157,769,268
train/frame1742.jpg,1280,720,car,154,154,422,242
train/frame1742.jpg,1280,720,car,141,141,623,212
train/frame1742.jpg,1280,720,truck,138,138,577,269
train/frame1742.jpg,1280,720,car,107,107,845,166
train/frame1742.jpg,1280,720,car,111,111,780,159
train/frame2003.jpg,1280,720,motorcycle,232,232,675,404
train/frame2003.jpg,1280,720,car,191,191,454,338
train/frame2003.jpg,1280,720,car,140,140,781,236
train/frame2003.jpg,1280,720,motorcycle,152,152,587,225
train/frame2003.jpg,1280,720,car,126,126,612,205
train/frame2003.jpg,1280,720,car,120,120,878,164
train/frame2003.jpg,1280,720,car,122,122,688,174
train/frame1714.jpg,1280,720,motorcycle,409,409,625,720
train/frame1714.jpg,1280,720,motorcycle,177,177,796,307
train/frame1714.jpg,1280,720,truck,201,201,389,385
train/frame1714.jpg,1280,720,car,172,172,538,269
train/frame1714.jpg,1280,720,motorcycle,145,145,877,254
train/frame1714.jpg,1280,720,motorcycle,127,127,911,224
train/frame1714.jpg,1280,720,car,162,162,392,231
train/frame1714.jpg,1280,720,car,112,112,758,164
train/frame1714.jpg,1280,720,car,127,127,832,199
train/frame1906.jpg,1280,720,car,148,148,622,251
train/frame1906.jpg,1280,720,car,160,160,421,236
train/frame1906.jpg,1280,720,car,239,239,426,371
train/frame1906.jpg,1280,720,car,222,222,212,384
train/frame1758.jpg,1280,720,car,155,155,419,246
train/frame1758.jpg,1280,720,motorcycle,499,499,383,720
train/frame1758.jpg,1280,720,motorcycle,200,200,888,342
train/frame1758.jpg,1280,720,motorcycle,258,258,766,459
train/frame1758.jpg,1280,720,motorcycle,145,145,530,223
train/frame1758.jpg,1280,720,truck,250,250,154,439
train/frame1758.jpg,1280,720,car,200,200,669,368
train/frame1758.jpg,1280,720,car,113,113,839,170
train/frame1758.jpg,1280,720,car,113,113,781,151
train/frame1758.jpg,1280,720,car,116,116,739,146
train/frame1736.jpg,1280,720,motorcycle,255,255,692,454
train/frame1736.jpg,1280,720,motorcycle,151,151,900,265
train/frame1736.jpg,1280,720,motorcycle,181,181,850,323
train/frame1736.jpg,1280,720,car,145,145,792,246
train/frame1736.jpg,1280,720,car,149,149,608,219
train/frame1736.jpg,1280,720,truck,153,153,549,282
train/frame1736.jpg,1280,720,car,159,159,401,237
train/frame1736.jpg,1280,720,car,108,108,847,157
train/frame1736.jpg,1280,720,car,111,111,770,147
train/frame1765.jpg,1280,720,truck,224,224,247,392
train/frame1765.jpg,1280,720,motorcycle,221,221,861,384
train/frame1765.jpg,1280,720,motorcycle,295,295,711,541
train/frame1765.jpg,1280,720,car,160,160,420,237
train/frame1765.jpg,1280,720,car,232,232,594,437
train/frame1765.jpg,1280,720,motorcycle,144,144,550,209
train/frame1765.jpg,1280,720,truck,125,125,657,216
train/frame1765.jpg,1280,720,car,114,114,837,173
train/frame1864.jpg,1280,720,car,234,234,370,404
train/frame1864.jpg,1280,720,car,160,160,421,238
train/frame1864.jpg,1280,720,truck,220,220,656,398
train/frame1992.jpg,1280,720,car,223,223,369,389
train/frame1992.jpg,1280,720,car,159,159,419,241
train/frame1992.jpg,1280,720,motorcycle,160,160,543,248
train/frame1992.jpg,1280,720,motorcycle,188,188,743,320
train/frame1992.jpg,1280,720,car,133,133,597,211
train/frame1992.jpg,1280,720,car,129,129,684,180
train/frame1992.jpg,1280,720,car,128,128,799,209
train/frame1759.jpg,1280,720,motorcycle,197,197,880,355
train/frame1759.jpg,1280,720,motorcycle,259,259,755,470
train/frame1759.jpg,1280,720,car,155,155,422,242
train/frame1759.jpg,1280,720,motorcycle,147,147,530,219
train/frame1759.jpg,1280,720,car,197,197,655,384
train/frame1759.jpg,1280,720,car,114,114,838,172
train/frame1759.jpg,1280,720,car,111,111,781,152
train/frame1759.jpg,1280,720,car,111,111,742,147
train/frame1757.jpg,1280,720,motorcycle,192,192,882,339
train/frame1757.jpg,1280,720,motorcycle,254,254,769,453
train/frame1757.jpg,1280,720,car,154,154,419,239
train/frame1757.jpg,1280,720,truck,254,254,130,445
train/frame1757.jpg,1280,720,motorcycle,480,480,410,720
train/frame1757.jpg,1280,720,car,196,196,670,355
train/frame1757.jpg,1280,720,motorcycle,147,147,523,218
train/frame1757.jpg,1280,720,car,108,108,839,172
train/frame1757.jpg,1280,720,car,113,113,739,146
train/frame1757.jpg,1280,720,car,112,112,782,153
train/frame1345.jpg,1280,720,motorcycle,174,174,751,282
train/frame1345.jpg,1280,720,car,157,157,420,238
train/frame1345.jpg,1280,720,motorcycle,284,284,776,499
train/frame1345.jpg,1280,720,motorcycle,282,282,657,484
train/frame1345.jpg,1280,720,motorcycle,239,239,516,439
train/frame1345.jpg,1280,720,motorcycle,330,330,372,599
train/frame1345.jpg,1280,720,motorcycle,130,130,832,203
train/frame1345.jpg,1280,720,motorcycle,132,132,951,214
train/frame1345.jpg,1280,720,motorcycle,154,154,999,266
train/frame1345.jpg,1280,720,motorcycle,137,137,571,202
train/frame1345.jpg,1280,720,car,120,120,665,183
train/frame1750.jpg,1280,720,motorcycle,178,178,892,304
train/frame1750.jpg,1280,720,motorcycle,222,222,810,397
train/frame1750.jpg,1280,720,motorcycle,373,373,547,672
train/frame1750.jpg,1280,720,car,158,158,422,237
train/frame1750.jpg,1280,720,motorcycle,150,150,493,237
train/frame1750.jpg,1280,720,truck,139,139,588,241
train/frame1750.jpg,1280,720,car,172,172,724,308
train/frame1750.jpg,1280,720,car,107,107,839,168
train/frame1750.jpg,1280,720,car,112,112,778,154
train/frame1750.jpg,1280,720,car,111,111,738,146
train/frame1238.jpg,1920,1080,motorcycle,598,598,150,938
train/frame1238.jpg,1920,1080,motorcycle,174,174,328,327
train/frame1238.jpg,1920,1080,motorcycle,276,276,214,472
train/frame1238.jpg,1920,1080,car,425,425,1920,1009
train/frame1238.jpg,1920,1080,car,432,432,1067,958
